,subject,relation,object,subject_type,object_type
337,man,forget,bond,NOUN_CHUNK,NOUN_CHUNK
338,391 spots,face,water scarcity,NOUN_CHUNK,NOUN_CHUNK
339,Rains,have,little effect,NOUN_CHUNK,NOUN_CHUNK
340,Jitender Hudda,echoed,similar sentiment,PERSON,NOUN_CHUNK
341,.Tesla,getting,negative press,NOUN_CHUNK,NOUN_CHUNK
342,Twitter tirade,trained,Tesla CEO Elon Musk guns,NOUN_CHUNK,NOUN_CHUNK
343,rating service,raised,eyebrows,NOUN_CHUNK,NOUN_CHUNK
344,arrears,accumulated to,"11,856 crore",NOUN_CHUNK,MONEY
345,Framers,received,highest,NOUN_CHUNK,NOUN_CHUNK
346,schools,holding,30-minute morning assemblies,NOUN_CHUNK,NOUN_CHUNK
347,weathermen,given,forecast,NOUN_CHUNK,NOUN_CHUNK
348,Jamal,had,answer,PERSON,NOUN_CHUNK
349,youths,leave,Jamal,NOUN_CHUNK,PERSON
350,youths,threw,volley,NOUN_CHUNK,NOUN_CHUNK
351,fear,silenced,Jamal,NOUN_CHUNK,PERSON
352,Jamal,tell,wife,PERSON,NOUN_CHUNK
353,Sanjay,forgotten,word,ORG,NOUN_CHUNK
354,Asif,got,offer,PERSON,NOUN_CHUNK
355,us,take,independents,GPE,NOUN_CHUNK
356,Shubhangi Gokhale,carved,comfortable space,ORG,NOUN_CHUNK
357,armed men,robbed,BTech student,NOUN_CHUNK,NOUN_CHUNK
358,Boys,ruled,roost,NOUN_CHUNK,NOUN_CHUNK
359,boys,held,rank,NOUN_CHUNK,NOUN_CHUNK
360,Only eight,made,place,CARDINAL,NOUN_CHUNK
361,woman family,blamed,the Government Maternity Hospital,NOUN_CHUNK,ORG
362,doctors,treat,wife,NOUN_CHUNK,NOUN_CHUNK
363,weather monitoring cell,recorded,temperature,NOUN_CHUNK,NOUN_CHUNK
364,lift,has,doors,NOUN_CHUNK,NOUN_CHUNK
365,12-year old newspaper delivery boy,suspected,internal injuries,NOUN_CHUNK,NOUN_CHUNK
366,injured biker Satnam Singh,underwent,head surgery,PERSON,NOUN_CHUNK
367,Satnam,has,younger sisters,PERSON,NOUN_CHUNK
368,3 police,registered,case,NOUN_CHUNK,NOUN_CHUNK
369,injured biker Satnam Singh,underwent,head surgery,PERSON,NOUN_CHUNK
370,Satnam,has,younger sisters,PERSON,NOUN_CHUNK
371,3 police,registered,case,NOUN_CHUNK,NOUN_CHUNK
372,pass percentage,saw,drop,NOUN_CHUNK,NOUN_CHUNK
373,pass percentage,observed,rise,NOUN_CHUNK,NOUN_CHUNK
374,Officials,attribute,drop,NOUN_CHUNK,NOUN_CHUNK
375,quality,plays,vital role,NOUN_CHUNK,NOUN_CHUNK
376,overall pass percentage,saw,slight dip,NOUN_CHUNK,NOUN_CHUNK
377,nearby residences,had,bats,NOUN_CHUNK,NOUN_CHUNK
378,bat colony,occupies,walls,NOUN_CHUNK,NOUN_CHUNK
379,commuters,facing,inconveniences,NOUN_CHUNK,NOUN_CHUNK
380,gateway,facilitates,payment,NOUN_CHUNK,NOUN_CHUNK
381,girl,visited,cyber café,NOUN_CHUNK,NOUN_CHUNK
382,Marilyn,lost,"Rs 48,975",PERSON,ORG
383,gateway,facilitates,payment,NOUN_CHUNK,NOUN_CHUNK
384,girl,visited,cyber café,NOUN_CHUNK,NOUN_CHUNK
385,Marilyn,lost,"Rs 48,975",PERSON,ORG
